city,timestamp,temperature,season
New York,2010-01-01,-3.3591566071813794,winter
New York,2010-01-02,-0.8539705057461172,winter
New York,2010-01-03,-0.3433293099499869,winter
New York,2010-01-04,-3.2830360101564815,winter
New York,2010-01-05,-2.8198649901378485,winter
New York,2010-01-06,-3.4560398426401355,winter
New York,2010-01-07,-0.12096836843679362,winter
New York,2010-01-08,6.6625385711793195,winter
New York,2010-01-09,-5.85710845755092,winter
New York,2010-01-10,-6.108723682187681,winter
New York,2010-01-11,-7.340976461374096,winter
New York,2010-01-12,4.4341289495617575,winter
New York,2010-01-13,-11.867089948154941,winter
New York,2010-01-14,-3.056279265552419,winter
New York,2010-01-15,2.6458608902613046,winter
New York,2010-01-16,5.799585371029558,winter
New York,2010-01-17,3.500823750593641,winter
New York,2010-01-18,-2.711822361403567,winter
New York,2010-01-19,-5.19583501399722,winter
New York,2010-01-20,0.23527766005788572,winter
New York,2010-01-21,-2.565395007137049,winter
New York,2010-01-22,5.872010945680746,winter
New York,2010-01-23,-2.08228803313747,winter
New York,2010-01-24,5.5746987874558815,winter
New York,2010-01-25,6.5144585525511545,winter
New York,2010-01-26,-2.1164959965516026,winter
New York,2010-01-27,-4.465662151468516,winter
New York,2010-01-28,3.7757700718444784,winter
New York,2010-01-29,-3.011279076038095,winter
New York,2010-01-30,3.5071022159771736,winter
New York,2010-01-31,-4.87410739763511,winter
New York,2010-02-01,-3.032959020562618,winter
New York,2010-02-02,-5.223844578353782,winter
New York,2010-02-03,7.281040916140558,winter
New York,2010-02-04,2.241791830288144,winter
New York,2010-02-05,-2.7837972972539857,winter
New York,2010-02-06,-3.685158314998278,winter
New York,2010-02-07,-6.537190566795024,winter
New York,2010-02-08,5.182509080427726,winter
New York,2010-02-09,-1.6298297312403354,winter
New York,2010-02-10,3.1158260120505665,winter
New York,2010-02-11,5.507257435704739,winter
New York,2010-02-12,-7.759611027025869,winter
New York,2010-02-13,7.017391610348747,winter
New York,2010-02-14,-2.605540752667091,winter
New York,2010-02-15,-7.823321577953091,winter
New York,2010-02-16,-5.066800241175465,winter
New York,2010-02-17,-0.8939830495791756,winter
New York,2010-02-18,-1.3405005880682648,winter
New York,2010-02-19,-5.920773556298251,winter
New York,2010-02-20,-2.790279790144265,winter
New York,2010-02-21,-3.692686558719354,winter
New York,2010-02-22,1.0483143866538416,winter
New York,2010-02-23,2.295673032006359,winter
New York,2010-02-24,-1.0837070416762018,winter
New York,2010-02-25,0.07809427798006977,winter
New York,2010-02-26,8.838496340553379,winter
New York,2010-02-27,-0.9886608292412744,winter
New York,2010-02-28,1.1705162470586579,winter
New York,2010-03-01,4.573630710939424,spring
New York,2010-03-02,8.595340880752296,spring
New York,2010-03-03,6.798545896540651,spring
New York,2010-03-04,5.1023553695991275,spring
New York,2010-03-05,8.992570124149518,spring
New York,2010-03-06,17.923114856193944,spring
New York,2010-03-07,-0.24823070095429145,spring
New York,2010-03-08,-1.7571378291804365,spring
New York,2010-03-09,11.740660756183765,spring
New York,2010-03-10,12.41846406353215,spring
New York,2010-03-11,18.04146990407663,spring
New York,2010-03-12,11.546536591869595,spring
New York,2010-03-13,-0.37619376288524364,spring
New York,2010-03-14,13.547100830984848,spring
New York,2010-03-15,5.360519756558592,spring
New York,2010-03-16,11.622008127789567,spring
New York,2010-03-17,15.32912207558168,spring
New York,2010-03-18,8.276943885462408,spring
New York,2010-03-19,12.946344030479601,spring
New York,2010-03-20,-0.3620729255044015,spring
New York,2010-03-21,13.7440678447449,spring
New York,2010-03-22,12.251789374554587,spring
New York,2010-03-23,11.409482770169758,spring
New York,2010-03-24,8.275865211983671,spring
New York,2010-03-25,18.295104725181076,spring
New York,2010-03-26,15.75392328760497,spring
New York,2010-03-27,8.960705518651373,spring
New York,2010-03-28,9.339904811606413,spring
New York,2010-03-29,3.1985499482698483,spring
New York,2010-03-30,11.232119449347394,spring
New York,2010-03-31,10.394483061968916,spring
New York,2010-04-01,13.248124944248387,spring
New York,2010-04-02,3.7130943844854727,spring
New York,2010-04-03,7.429983606155496,spring
New York,2010-04-04,3.4679757869855425,spring
New York,2010-04-05,10.93234219664577,spring
New York,2010-04-06,4.024656503721955,spring
New York,2010-04-07,16.72808464149435,spring
New York,2010-04-08,8.006302483934531,spring
New York,2010-04-09,9.881090385165152,spring
New York,2010-04-10,12.685165762413007,spring
New York,2010-04-11,11.143282583564016,spring
New York,2010-04-12,12.056479500415378,spring
New York,2010-04-13,9.88081364852872,spring
New York,2010-04-14,3.7745545119210844,spring
New York,2010-04-15,14.62717736521366,spring
New York,2010-04-16,13.968255254831027,spring
New York,2010-04-17,7.825980179137263,spring
New York,2010-04-18,13.6182144316557,spring
New York,2010-04-19,13.831511120202585,spring
New York,2010-04-20,11.88872920774011,spring
New York,2010-04-21,11.747512787962737,spring
New York,2010-04-22,10.745488064835673,spring
New York,2010-04-23,19.086823615179107,spring
New York,2010-04-24,12.055755859261982,spring
New York,2010-04-25,0.29061299657569606,spring
New York,2010-04-26,11.265728359666564,spring
New York,2010-04-27,11.56872226883799,spring
